Sample	Taxon	Rank	Counts	Percent
611894955_NA0019790070_4_mouth	root	root	101048	100.0
611894955_NA0019790070_4_mouth	Bacteria	superkingdom	101048	100.0
611894955_NA0019790070_4_mouth	Simonsiella	genus	4	0.00395851476526
611894955_NA0019790070_4_mouth	Simonsiella muelleri	species	4	0.00395851476526
611894955_NA0019790070_4_mouth	Spirochaetales	order	56	0.0554192067136
611894955_NA0019790070_4_mouth	Campylobacter	genus	562	0.556171324519
611894955_NA0019790070_4_mouth	Campylobacter concisus	species	502	0.49679360304
611894955_NA0019790070_4_mouth	Campylobacter mucosalis	species	4	0.00395851476526
611894955_NA0019790070_4_mouth	Campylobacter rectus	species	41	0.0405747763439
611894955_NA0019790070_4_mouth	Neisseriaceae	family	2918	2.88773652126
611894955_NA0019790070_4_mouth	Neisseria	genus	2873	2.84320323015
611894955_NA0019790070_4_mouth	Neisseria mucosa	species	2632	2.60470271554
611894955_NA0019790070_4_mouth	Neisseria elongata	species	33	0.0326577468134
611894955_NA0019790070_4_mouth	Neisseria macacae	species	73	0.072242894466
611894955_NA0019790070_4_mouth	Kingella oralis	species	15	0.0148444303697
611894955_NA0019790070_4_mouth	Eikenella	genus	17	0.0168236877524
611894955_NA0019790070_4_mouth	Eikenella corrodens	species	17	0.0168236877524
611894955_NA0019790070_4_mouth	Pasteurellaceae	family	6589	6.52066344707
611894955_NA0019790070_4_mouth	Actinobacillus	genus	183	0.181102050511
611894955_NA0019790070_4_mouth	Haemophilus	genus	6337	6.27127701686
611894955_NA0019790070_4_mouth	Haemophilus influenzae	species	393	0.388924075687
611894955_NA0019790070_4_mouth	Haemophilus parainfluenzae	species	5936	5.87443591165
611894955_NA0019790070_4_mouth	Aggregatibacter aphrophilus	species	52	0.0514606919484
611894955_NA0019790070_4_mouth	Aggregatibacter segnis	species	17	0.0168236877524
611894955_NA0019790070_4_mouth	Campylobacter gracilis	species	15	0.0148444303697
611894955_NA0019790070_4_mouth	Porphyromonas	genus	5442	5.38555933814
611894955_NA0019790070_4_mouth	Prevotella	genus	4342	4.29696777769
611894955_NA0019790070_4_mouth	Fusobacterium	genus	1589	1.5725199905
611894955_NA0019790070_4_mouth	Fusobacterium nucleatum	species	238	0.235531628533
611894955_NA0019790070_4_mouth	Fusobacterium periodonticum	species	1271	1.25781806666
611894955_NA0019790070_4_mouth	Desulfobulbus	genus	2	0.00197925738263
611894955_NA0019790070_4_mouth	Megasphaera	genus	392	0.387934446995
611894955_NA0019790070_4_mouth	Selenomonas	genus	8	0.00791702953052
611894955_NA0019790070_4_mouth	Bacteroidetes	phylum	20013	19.8054389993
611894955_NA0019790070_4_mouth	Capnocytophaga	genus	249	0.246417544137
611894955_NA0019790070_4_mouth	Capnocytophaga gingivalis	species	89	0.088076953527
611894955_NA0019790070_4_mouth	Capnocytophaga ochracea	species	22	0.0217718312089
611894955_NA0019790070_4_mouth	Capnocytophaga sputigena	species	25	0.0247407172829
611894955_NA0019790070_4_mouth	Proteobacteria	phylum	10134	10.0288971578
611894955_NA0019790070_4_mouth	Gammaproteobacteria	class	6589	6.52066344707
611894955_NA0019790070_4_mouth	Firmicutes	phylum	58889	58.2782440029
611894955_NA0019790070_4_mouth	Peptostreptococcus	genus	368	0.364183358404
611894955_NA0019790070_4_mouth	Sarcina	genus	24	0.0237510885916
611894955_NA0019790070_4_mouth	Micrococcaceae	family	4268	4.22373525453
611894955_NA0019790070_4_mouth	Streptococcaceae	family	31740	31.4108146623
